goos: darwin
goarch: arm64
pkg: objbench/hybrid
cpu: Apple M1
BenchmarkFieldReadD3-8    	411939670	         2.957 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD3-8    	417746691	         2.846 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD3-8    	424881096	         2.806 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD3-8    	410686928	         2.836 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD3-8    	442462035	         2.765 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	420342657	         3.048 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	377464528	         2.901 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	414436132	         3.183 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	423823220	         2.957 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	401914114	         2.819 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	431024936	         2.842 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	412301884	         2.971 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	422511406	         2.934 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	417113046	         2.823 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	425532229	         3.240 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	331646349	         3.550 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	357163939	         3.664 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	343685875	         3.547 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	360116767	         3.394 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	360276105	         3.261 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	312854167	         3.341 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	309368715	         3.474 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	376073425	         3.203 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	338447533	         3.372 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	381649900	         3.199 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	368061560	         3.354 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	383060480	         3.302 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	368611122	         3.424 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	343710976	         3.440 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	328569268	         3.273 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	354929389	         3.660 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	319312165	         3.907 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	306815882	         4.142 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	315562143	         3.738 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	320906131	         3.496 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	390618270	         3.067 ns/op	       0 B/op	       0 allocs/op
