goos: darwin
goarch: arm64
pkg: gcopt/q1_devirt
cpu: Apple M1
BenchmarkMethodValueConcrete-8    	173131165	         2.082 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueConcrete-8    	173184051	         2.080 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueConcrete-8    	172906544	         2.079 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueConcrete-8    	172809123	         2.085 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueConcrete-8    	173282209	         2.077 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueConcrete-8    	173042779	         2.094 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueConcrete-8    	172755945	         2.170 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueConcrete-8    	160199180	         2.087 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueConcrete-8    	172544632	         2.084 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueConcrete-8    	173075778	         2.081 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueInterface-8   	171691354	         2.108 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueInterface-8   	165810076	         2.100 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueInterface-8   	170218197	         2.113 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueInterface-8   	169839828	         2.234 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueInterface-8   	161340800	         2.109 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueInterface-8   	171475318	         2.097 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueInterface-8   	171262473	         2.101 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueInterface-8   	171390483	         2.099 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueInterface-8   	171562484	         2.118 ns/op	       0 B/op	       0 allocs/op
BenchmarkMethodValueInterface-8   	170540877	         2.181 ns/op	       0 B/op	       0 allocs/op
